2026-08-09 19:08:30,316 WARNING Missing checkpoint keys after tied-weight load: ['language_model.model.encoder.embed_tokens.weight', 'language_model.model.decoder.embed_tokens.weight', 'language_model.lm_head.weight']
2026-08-09 19:08:30,537 INFO parameter groups: {'vision': {'tensors': 400, 'parameters': 90368000}, 'projection': {'tensors': 5, 'parameters': 839168}, 'language': {'tensors': 259, 'parameters': 140206848}}
2026-08-09 19:24:12,783 INFO epoch=1 step=670/1454 loss=1.484547 grad_norm=7.4674 lr=[6.449949869995628e-07, 6.449949869995628e-07, 3.224974934997814e-07, 3.224974934997814e-07, 6.449949869995628e-08, 6.449949869995628e-08]
2026-08-09 19:24:17,147 INFO epoch=1 step=680/1454 loss=1.543569 grad_norm=7.9465 lr=[6.349650592213201e-07, 6.349650592213201e-07, 3.1748252961066006e-07, 3.1748252961066006e-07, 6.349650592213202e-08, 6.349650592213202e-08]
2026-08-09 19:24:21,497 INFO epoch=1 step=690/1454 loss=2.021172 grad_norm=10.6173 lr=[6.248911637151569e-07, 6.248911637151569e-07, 3.1244558185757843e-07, 3.1244558185757843e-07, 6.248911637151569e-08, 6.248911637151569e-08]
2026-08-09 19:24:25,854 INFO epoch=1 step=700/1454 loss=1.629887 grad_norm=7.5032 lr=[6.147785135215955e-07, 6.147785135215955e-07, 3.0738925676079774e-07, 3.0738925676079774e-07, 6.147785135215955e-08, 6.147785135215955e-08]
2026-08-09 19:26:07,702 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 21.59375, 'p95_words': 30, 'length_18_24_ratio': 0.59375, 'single_sentence_ratio': 1.0, 'subject_start_ratio': 1.0, 'dev_loss': 1.5459750893171165, 'global_step': 700}
2026-08-09 19:26:15,188 INFO epoch=1 step=710/1454 loss=1.703228 grad_norm=7.5212 lr=[6.046323417359383e-07, 6.046323417359383e-07, 3.0231617086796917e-07, 3.0231617086796917e-07, 6.046323417359384e-08, 6.046323417359384e-08]
2026-08-09 19:26:23,387 INFO epoch=1 step=720/1454 loss=1.687662 grad_norm=8.1371 lr=[5.944578988002446e-07, 5.944578988002446e-07, 2.972289494001223e-07, 2.972289494001223e-07, 5.9445789880024454e-08, 5.9445789880024454e-08]
2026-08-09 19:26:27,703 INFO epoch=1 step=730/1454 loss=1.794518 grad_norm=7.1465 lr=[5.842604497863313e-07, 5.842604497863313e-07, 2.9213022489316567e-07, 2.9213022489316567e-07, 5.842604497863314e-08, 5.842604497863314e-08]
2026-08-09 19:26:32,014 INFO epoch=1 step=740/1454 loss=1.697914 grad_norm=8.3566 lr=[5.740452716712036e-07, 5.740452716712036e-07, 2.870226358356018e-07, 2.870226358356018e-07, 5.7404527167120356e-08, 5.7404527167120356e-08]
2026-08-09 19:26:36,345 INFO epoch=1 step=750/1454 loss=1.964891 grad_norm=7.6056 lr=[5.638176506063232e-07, 5.638176506063232e-07, 2.819088253031616e-07, 2.819088253031616e-07, 5.638176506063232e-08, 5.638176506063232e-08]
