2026-08-07 09:33:30,246 WARNING Missing checkpoint keys after tied-weight load: ['language_model.model.encoder.embed_tokens.weight', 'language_model.model.decoder.embed_tokens.weight', 'language_model.lm_head.weight']
2026-08-07 09:33:30,614 INFO parameter groups: {'vision': {'tensors': 400, 'parameters': 90368000}, 'projection': {'tensors': 5, 'parameters': 839168}, 'language': {'tensors': 259, 'parameters': 140206848}}
2026-08-07 09:42:12,716 INFO epoch=1 step=320/1454 loss=1.680499 grad_norm=7.9747 lr=[9.308117732875085e-07, 9.308117732875085e-07, 4.6540588664375424e-07, 4.6540588664375424e-07, 9.308117732875084e-08, 9.308117732875084e-08]
2026-08-07 09:42:17,726 INFO epoch=1 step=330/1454 loss=1.952622 grad_norm=7.6013 lr=[9.252596059210514e-07, 9.252596059210514e-07, 4.626298029605257e-07, 4.626298029605257e-07, 9.252596059210515e-08, 9.252596059210515e-08]
2026-08-07 09:42:22,594 INFO epoch=1 step=340/1454 loss=1.720387 grad_norm=11.7013 lr=[9.195132491736429e-07, 9.195132491736429e-07, 4.597566245868214e-07, 4.597566245868214e-07, 9.195132491736429e-08, 9.195132491736429e-08]
2026-08-07 09:42:27,152 INFO epoch=1 step=350/1454 loss=1.587761 grad_norm=7.2914 lr=[9.135756766705859e-07, 9.135756766705859e-07, 4.5678783833529296e-07, 4.5678783833529296e-07, 9.135756766705858e-08, 9.135756766705858e-08]
2026-08-07 09:42:32,302 INFO epoch=1 step=360/1454 loss=1.773659 grad_norm=7.0358 lr=[9.074499609875334e-07, 9.074499609875334e-07, 4.537249804937667e-07, 4.537249804937667e-07, 9.074499609875334e-08, 9.074499609875334e-08]
2026-08-07 09:42:36,982 INFO epoch=1 step=370/1454 loss=1.267054 grad_norm=7.2673 lr=[9.011392720604919e-07, 9.011392720604919e-07, 4.5056963603024595e-07, 4.5056963603024595e-07, 9.011392720604919e-08, 9.011392720604919e-08]
2026-08-07 09:42:41,607 INFO epoch=1 step=380/1454 loss=1.944312 grad_norm=7.5054 lr=[8.946468755454408e-07, 8.946468755454408e-07, 4.473234377727204e-07, 4.473234377727204e-07, 8.946468755454408e-08, 8.946468755454408e-08]
2026-08-07 09:42:46,509 INFO epoch=1 step=390/1454 loss=1.914456 grad_norm=7.4781 lr=[8.879761311284225e-07, 8.879761311284225e-07, 4.4398806556421126e-07, 4.4398806556421126e-07, 8.879761311284226e-08, 8.879761311284226e-08]
2026-08-07 09:42:51,273 INFO epoch=1 step=400/1454 loss=1.450853 grad_norm=6.5328 lr=[8.811304907869701e-07, 8.811304907869701e-07, 4.4056524539348507e-07, 4.4056524539348507e-07, 8.8113049078697e-08, 8.8113049078697e-08]
2026-08-07 09:45:03,461 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 21.625, 'p95_words': 29, 'length_18_24_ratio': 0.5703125, 'single_sentence_ratio': 1.0, 'subject_start_ratio': 1.0, 'dev_loss': 1.6128327245845882, 'global_step': 400}
2026-08-07 09:45:11,687 INFO epoch=1 step=410/1454 loss=1.716659 grad_norm=6.2053 lr=[8.741134970037789e-07, 8.741134970037789e-07, 4.3705674850188945e-07, 4.3705674850188945e-07, 8.741134970037788e-08, 8.741134970037788e-08]
2026-08-07 09:45:19,800 INFO epoch=1 step=420/1454 loss=1.456024 grad_norm=8.0891 lr=[8.669287809335412e-07, 8.669287809335412e-07, 4.334643904667706e-07, 4.334643904667706e-07, 8.669287809335411e-08, 8.669287809335411e-08]
2026-08-07 09:45:24,182 INFO epoch=1 step=430/1454 loss=1.599431 grad_norm=8.5856 lr=[8.595800605238962e-07, 8.595800605238962e-07, 4.297900302619481e-07, 4.297900302619481e-07, 8.595800605238963e-08, 8.595800605238963e-08]
2026-08-07 09:45:28,578 INFO epoch=1 step=440/1454 loss=1.672071 grad_norm=7.7338 lr=[8.520711385914665e-07, 8.520711385914665e-07, 4.2603556929573323e-07, 4.2603556929573323e-07, 8.520711385914665e-08, 8.520711385914665e-08]
2026-08-07 09:45:33,324 INFO epoch=1 step=450/1454 loss=1.617324 grad_norm=8.2119 lr=[8.444059008539757e-07, 8.444059008539757e-07, 4.2220295042698784e-07, 4.2220295042698784e-07, 8.444059008539757e-08, 8.444059008539757e-08]
2026-08-07 09:45:37,687 INFO epoch=1 step=460/1454 loss=1.681217 grad_norm=7.8749 lr=[8.365883139194669e-07, 8.365883139194669e-07, 4.1829415695973344e-07, 4.1829415695973344e-07, 8.36588313919467e-08, 8.36588313919467e-08]
2026-08-07 09:45:42,030 INFO epoch=1 step=470/1454 loss=1.774849 grad_norm=6.9114 lr=[8.28622423233662e-07, 8.28622423233662e-07, 4.14311211616831e-07, 4.14311211616831e-07, 8.28622423233662e-08, 8.28622423233662e-08]
