2026-08-06 18:52:06,599 WARNING Missing checkpoint keys after tied-weight load: ['language_model.model.encoder.embed_tokens.weight', 'language_model.model.decoder.embed_tokens.weight', 'language_model.lm_head.weight']
2026-08-06 18:52:06,820 INFO parameter groups: {'vision': {'tensors': 400, 'parameters': 90368000}, 'projection': {'tensors': 5, 'parameters': 839168}, 'language': {'tensors': 259, 'parameters': 140206848}}
2026-08-06 19:00:02,951 INFO epoch=1 step=380/969 loss=1.949980 grad_norm=7.4475 lr=[7.418787167399254e-07, 7.418787167399254e-07, 3.709393583699627e-07, 3.709393583699627e-07, 7.418787167399254e-08, 7.418787167399254e-08]
2026-08-06 19:00:07,357 INFO epoch=1 step=390/969 loss=1.919155 grad_norm=9.0944 lr=[7.278700164597186e-07, 7.278700164597186e-07, 3.639350082298593e-07, 3.639350082298593e-07, 7.278700164597186e-08, 7.278700164597186e-08]
2026-08-06 19:00:11,722 INFO epoch=1 step=400/969 loss=1.455981 grad_norm=6.5671 lr=[7.136539276968634e-07, 7.136539276968634e-07, 3.568269638484317e-07, 3.568269638484317e-07, 7.136539276968634e-08, 7.136539276968634e-08]
2026-08-06 19:01:50,606 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 21.78125, 'p95_words': 29, 'length_18_24_ratio': 0.59375, 'single_sentence_ratio': 1.0, 'subject_start_ratio': 1.0, 'dev_loss': 1.61829897932944, 'global_step': 400}
2026-08-06 19:01:58,372 INFO epoch=1 step=410/969 loss=1.722277 grad_norm=6.7599 lr=[6.992470257749382e-07, 6.992470257749382e-07, 3.496235128874691e-07, 3.496235128874691e-07, 6.992470257749382e-08, 6.992470257749382e-08]
2026-08-06 19:02:06,758 INFO epoch=1 step=420/969 loss=1.458373 grad_norm=8.1265 lr=[6.84666108497129e-07, 6.84666108497129e-07, 3.423330542485645e-07, 3.423330542485645e-07, 6.846661084971291e-08, 6.846661084971291e-08]
2026-08-06 19:02:12,467 INFO epoch=1 step=430/969 loss=1.611895 grad_norm=7.7069 lr=[6.699281765607437e-07, 6.699281765607437e-07, 3.3496408828037186e-07, 3.3496408828037186e-07, 6.699281765607438e-08, 6.699281765607438e-08]
2026-08-06 19:02:18,560 INFO epoch=1 step=440/969 loss=1.683622 grad_norm=7.4297 lr=[6.550504137351575e-07, 6.550504137351575e-07, 3.2752520686757873e-07, 3.2752520686757873e-07, 6.550504137351574e-08, 6.550504137351574e-08]
2026-08-06 19:02:23,693 INFO epoch=1 step=450/969 loss=1.628350 grad_norm=8.4401 lr=[6.400501668263076e-07, 6.400501668263076e-07, 3.200250834131538e-07, 3.200250834131538e-07, 6.400501668263076e-08, 6.400501668263076e-08]
2026-08-06 19:02:28,730 INFO epoch=1 step=460/969 loss=1.695458 grad_norm=7.5080 lr=[6.249449254510937e-07, 6.249449254510937e-07, 3.1247246272554685e-07, 3.1247246272554685e-07, 6.249449254510937e-08, 6.249449254510937e-08]
